org_name,org_description,technology,topics,official_link,gsoc_link
Organic Maps,"Offline maps app for tourists, cyclers & hikers","android, java, c++, ios, OpenStreetMap","privacy, maps, navigation, mobile, offline",https://organicmaps.app,https://summerofcode.withgoogle.com/programs/2023/organizations/organic-maps
Postman,The Future is API-First,"javascript, api, openapi, AsyncAPI, JSON Schema","testing, api, automation, documentation, data",https://postman.com,https://summerofcode.withgoogle.com/programs/2023/organizations/postman
Unikraft,A Fast and Secure Unikernel SDK,"c, xen, golang, kvm, assembly language","virtualization, cloud, software reuse, software configurability",https://unikraft.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/unikraft
International Catrobat Association,Free visual coding apps for computational thinking,"javascript, swift, kotlin, php, flutter","education, visual programming, mobile programming, game engines, creativity tools",https://www.catrobat.org,https://summerofcode.withgoogle.com/programs/2023/organizations/international-catrobat-association
MetaBrainz Foundation Inc,"Open music / book metadata, music recommendations","python, react, perl, postgres, spark","open data, music, books, Music recommendation, music social network",https://metabrainz.org,https://summerofcode.withgoogle.com/programs/2023/organizations/metabrainz-foundation-inc
gprMax,Simulating electromagnetic wave propagation,"python, cuda, openmp, mpi, opencl","science, engineering, geophysics, electromagnetics, ground penetrating radar",https://www.gprmax.com,https://summerofcode.withgoogle.com/programs/2023/organizations/gprmax
CRIU,Chekpoint/Restore for Linux tasks and containers,"c, python, linux, go","cloud, containers, Checkpoint/Restore",https://criu.org,https://summerofcode.withgoogle.com/programs/2023/organizations/criu
Mantis,Stream Processing for Operational Analytics,"java, Rxjava, Akka, Netty","cloud, distributed systems, Operational Analytics",https://netflix.github.io/mantis/,https://summerofcode.withgoogle.com/programs/2023/organizations/mantis
caMicroscope,Toolkit for cancer imaging research,"python, javascript, mongodb, opencv, tensorflow","data visualization, image analysis, AI/ML, microscopy, dicom pathology",https://camicroscope.github.io,https://summerofcode.withgoogle.com/programs/2023/organizations/camicroscope
MariaDB,The fastest growing Open Source Database,"python, javascript, c/c++, perl, databases","Database Engines, SQL Features",https://mariadb.org,https://summerofcode.withgoogle.com/programs/2023/organizations/mariadb
LibreOffice,LibreOffice is a free and open source office suite,"python, java, c++","office suite, desktop application, end user application",https://www.libreoffice.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/libreoffice
Open Chemistry,Advancing Open Source & Open Science for Chemistry,"python, javascript, opengl, c++, c++14","data science, graphics, scientific visualization, cheminformatics, quantum chemistry",https://openchemistry.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/open-chemistry
GNU Image Manipulation Program,GIMP is a cross-platform image editor,"c, GEGL","graphics, design, photography, illustration",https://www.gimp.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/gnu-image-manipulation-program
Kotlin Foundation,Advance the Kotlin programming language,"gradle, kotlin, jvm, Parsers & Compilers, Multiplatform","compilers, programming languages, software development, libraries, Programming & Build Tools",https://kotlinfoundation.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/kotlin-foundation
FreeCAD,Cross-platform 3D parametric modeler,"python, c++, qt, OpenCASCADE, OpenInventor","engineering, graphics, cad, architecture, CAM",https://freecad.org,https://summerofcode.withgoogle.com/programs/2023/organizations/freecad
Open Robotics,Development of open source robotics,"ros, gazebo, ignition, Open-RMF","robotics, simulation",https://www.openrobotics.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/open-robotics
OpenVINO Toolkit,Make AI inference faster and easier to deploy!,"python, c++, x86","machine learning, ai, deep learning, neural network, inference",https://docs.openvino.ai/,https://summerofcode.withgoogle.com/programs/2023/organizations/openvino-toolkit
rocket.chat,Open source team chat and communications platform,"javascript, raspberry pi, typescript, node, meteorJS","communications, messaging, group chat, Team Collaboration, Chat platform",https://github.com/RocketChat,https://summerofcode.withgoogle.com/programs/2023/organizations/rocketchat
"Stratosphere Laboratory, Czech Technical University in Prague",Using machine learning and security to help others,"python, javascript, redis, flask, docker","machine learning, network security, Security Defense",https://www.stratosphereips.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/stratosphere-laboratory-czech-technical-university-in-prague
